fighter,Height,Weight,Reach,STANCE,DOB
Rafael Fiziev,68,155.0,71,Switch,03/05/1993
Shara Magomedov,74,185.0,73,Orthodox,05/16/1994
Matheus Camilo,70,155.0,69,Orthodox,01/02/2001
Asu Almabayev,64,125.0,65,Orthodox,01/25/1994
Ikram Aliskerov,72,185.0,76,Southpaw,12/07/1992
Abus Magomedov,74,185.0,78,Orthodox,09/02/1990
Farman Hasanov,71,170.0,74,Orthodox,08/01/1995
Abdul Rakhman Yakhyaev,74,205.0,78,Orthodox,01/03/2001
Nursulton Ruziboev,77,185.0,76,Orthodox,11/19/1993
Kaan Ofli,67,145.0,66,Orthodox,06/19/1993
Daniil Donchenko,71,170.0,71,Orthodox,08/04/2001
Jean Matsumoto,66,135.0,68,Orthodox,09/09/1999
Tahir Abdullayev,68,170.0,73,Orthodox,02/02/1997
Manel Kape,65,125.0,68,Southpaw,11/14/1993
Navajo Stirling,76,205.0,79,Orthodox,11/07/1997
Christian Rodriguez,67,145.0,71,Orthodox,12/17/1997
Murtazali Magomedov,69,145.0,70,Orthodox,08/26/1999
Vinicius Oliveira,69,145.0,70,Switch,11/30/1995
Kevin Borjas,65,125.0,68,Orthodox,12/06/1997
Bia Mesquita,64,135.0,67,Orthodox,04/07/1991
Mitch Raposo,65,125.0,64,Switch,10/16/1998
Gaston Bolanos,67,145.0,69,Orthodox,09/14/1992
Levan Chokheli,71,170.0,72,Orthodox,10/02/1996
Luana Santos,66,135.0,67,Orthodox,04/16/2000
Shane Collins,69,145.0,71,Orthodox,03/08/2000
Justin Gaethje,71,155.0,70,Orthodox,11/14/1988
Ciryl Gane,76,247.0,81,Orthodox,04/12/1990
Sean O'Malley,71,135.0,72,Switch,10/24/1994
Josh Hokit,73,235.0,73,Orthodox,11/12/1997
Mauricio Ruffy,71,155.0,75,Orthodox,06/17/1996
Bo Nickal,73,185.0,76,Southpaw,01/14/1996
Diego Lopes,71,145.0,72,Orthodox,12/30/1994
Gabriel Bonfim,73,170.0,72,Orthodox,08/20/1997
Brendan Allen,74,185.0,75,Orthodox,12/28/1995
Tom Nolan,75,155.0,73,Southpaw,03/08/2000
Bryce Mitchell,70,135.0,70,Southpaw,10/04/1994
Iwo Baraniewski,72,205.0,73,Orthodox,11/20/1998
Alessandro Costa,64,125.0,67,Orthodox,01/28/1996
Marcus McGhee,68,135.0,69,Orthodox,05/07/1990
Edgar Chairez,67,125.0,71,Orthodox,01/27/1996
Chelsea Chandler,68,135.0,68,Southpaw,11/23/1990
Joanderson Brito,68,145.0,72,Orthodox,02/11/1995
Jeisla Chaves,66,125.0,68,Orthodox,02/02/1997
Ketlen Souza,63,115.0,63,Orthodox,08/18/1994
Song Yadong,68,135.0,67,Orthodox,12/02/1997
Alonzo Menifield,72,205.0,76,Orthodox,10/18/1987
Sergei Pavlovich,75,257.0,84,Southpaw,05/13/1992
Kai Asakura,68,135.0,69,Orthodox,10/31/1993
Jake Matthews,71,170.0,73,Orthodox,08/19/1994
Alex Perez,66,125.0,65,Orthodox,03/21/1992
Luis Felipe Dias,70,185.0,74,,01/17/1995
Jose Souza,75,170.0,79,Orthodox,05/23/2002
Cody Haddon,67,135.0,69,Orthodox,09/08/1998
Rei Tsuruya,66,125.0,68,Orthodox,06/22/2002
Angela Hill,63,115.0,64,Orthodox,01/12/1985
Rodrigo Vera,68,145.0,68,Orthodox,10/18/1995
Jaqueline Amorim,63,115.0,68,Orthodox,06/24/1995
Arnold Allen,68,145.0,70,Southpaw,01/22/1994
Dooho Choi,70,145.0,70,Orthodox,04/10/1991
Juan Diaz,68,135.0,69,Orthodox,06/03/1998
Modestas Bukauskas,75,205.0,76,Switch,02/10/1994
Benardo Sopaj,66,135.0,66,Orthodox,09/25/2000
Khaos Williams,72,170.0,77,Orthodox,03/30/1994
Ivan Erslan,74,205.0,72,Orthodox,11/15/1991
Tommy Gantt,71,155.0,76,Orthodox,01/09/1993
Ketlen Vieira,68,135.0,68,Orthodox,08/26/1991
Cody Brundage,72,185.0,72,Orthodox,05/16/1994
Alice Ardelean,63,115.0,62,Orthodox,04/19/1992
Luis Gurule,65,125.0,64,Orthodox,11/16/1993
Nicolle Caliari,63,115.0,62,Orthodox,11/04/1996
Sean Strickland,73,185.0,76,Orthodox,02/27/1991
Joshua Van,65,125.0,65,Orthodox,10/10/2001
Alexander Volkov,79,250.0,80,Orthodox,10/24/1988
Sean Brady,70,170.0,72,Orthodox,11/23/1992
King Green,70,155.0,71,Orthodox,09/09/1986
Ateba Gautier,76,185.0,81,Switch,04/10/2002
Yaroslav Amosov,72,170.0,75,Orthodox,09/09/1993
Grant Dawson,70,155.0,72,Switch,02/20/1994
Jim Miller,68,155.0,71,Southpaw,08/30/1983
Roman Kopylov,72,185.0,75,Southpaw,05/04/1992
Pat Sabatini,68,145.0,70,Orthodox,11/09/1990
Baisangur Susurkaev,74,185.0,79,Orthodox,01/08/2001
Jose Ochoa,67,125.0,67,Southpaw,12/31/2000
Carlos Prates,73,170.0,78,Switch,08/17/1993
Quillan Salkilld,72,155.0,75,Orthodox,12/28/1999
Steve Erceg,68,125.0,68,Orthodox,07/27/1995
Marwan Rahiki,68,145.0,72,Orthodox,05/10/2002
Brando Pericic,77,245.0,79,Orthodox,08/03/1994
Louie Sutherland,75,264.0,76,Orthodox,02/08/1994
Cam Rowston,75,185.0,78,Orthodox,01/19/1995
Junior Tafa,75,205.0,75,Orthodox,09/21/1996
Jacob Malkoun,69,185.0,73,Orthodox,08/26/1995
Colby Thicknesse,67,135.0,69,Orthodox,06/23/1999
Wes Schultz,73,185.0,77,Orthodox,08/09/1996
Jonathan Micallef,72,170.0,77,Southpaw,03/05/1999
Kody Steele,69,155.0,71,Orthodox,04/21/1995
Aljamain Sterling,67,145.0,71,Orthodox,07/31/1989
Joselyne Edwards,68,135.0,70,Orthodox,09/29/1995
Rafa Garcia,67,155.0,70,Orthodox,08/05/1994
Davey Grant,68,135.0,69,Orthodox,12/18/1985
Raoni Barcelos,67,135.0,67,Orthodox,05/01/1987
Ryan Spann,77,205.0,79,Orthodox,08/24/1991
Eric McConico,72,185.0,77,Southpaw,05/09/1990
Jackson McVey,76,185.0,77,Southpaw,03/25/1999
Michelle Montague,69,135.0,68,Southpaw,11/25/1993
Cody Durden,67,125.0,67,Southpaw,03/29/1991
Francis Marshall,69,155.0,72,Orthodox,03/03/1999
Victor Valenzuela,69,170.0,71,Orthodox,02/09/1994
Talita Alencar,61,115.0,58,Orthodox,10/17/1990
Mike Malott,73,170.0,73,Orthodox,11/07/1991
Charles Jourdain,69,135.0,69,Switch,11/27/1995
Jai Herbert,73,155.0,77,Orthodox,05/13/1988
Jasmine Jasudavicius,67,125.0,68,Orthodox,03/01/1989
Gauge Young,69,155.0,70,Orthodox,07/14/2000
Marcio Barbosa,66,145.0,70,Orthodox,05/22/1998
Robert Valentin,74,185.0,77,Orthodox,03/31/1995
Gokhan Saricam,75,265.0,75,Orthodox,02/28/1991
Melissa Croden,69,135.0,68,Orthodox,04/12/1991
JJ Aldrich,65,125.0,67,Southpaw,09/29/1992
John Castaneda,66,135.0,71,Switch,12/18/1991
John Yannis,67,135.0,70,Southpaw,07/07/1994
Carlos Ulberg,76,205.0,77,Orthodox,11/07/1990
Paulo Costa,73,205.0,72,Orthodox,04/21/1991
Dominick Reyes,76,205.0,77,Southpaw,12/26/1989
Cub Swanson,68,145.0,70,Orthodox,11/02/1983
Aaron Pico,68,145.0,70,Orthodox,09/23/1996
Kevin Holland,75,170.0,81,Orthodox,11/05/1992
Mateusz Gamrot,70,155.0,70,Southpaw,12/11/1990
Tatiana Suarez,65,115.0,66,Southpaw,12/19/1990
Chris Padilla,69,155.0,74,Orthodox,09/14/1995
Vicente Luque,71,185.0,75,Orthodox,11/27/1991
Charles Radtke,69,170.0,72,Orthodox,07/09/1990
Renato Moicano,71,155.0,72,Orthodox,05/21/1989
Virna Jandiroba,63,115.0,64,Orthodox,05/30/1988
Ethyn Ewing,66,135.0,69,Orthodox,02/19/1996
Tommy McMillen,72,145.0,74,Orthodox,12/15/1997
Jose Delano,68,145.0,70,Orthodox,09/11/1996
Thomas Petersen,73,250.0,74,Southpaw,03/30/1995
Darrius Flowers,69,155.0,71,Orthodox,08/25/1994
Alice Pereira,68,135.0,71,Orthodox,12/20/2005
Tresean Gore,72,185.0,75,Switch,06/21/1994
Dione Barbosa,66,125.0,66,Orthodox,05/08/1992
Kai Kamaka III,67,145.0,69,Orthodox,01/05/1995
Joe Pyfer,74,185.0,75,Orthodox,09/17/1996
Alexa Grasso,65,125.0,66,Orthodox,08/09/1993
Michael Chiesa,73,170.0,75,Southpaw,12/07/1987
Lerryan Douglas,69,145.0,72,Orthodox,04/27/1995
Yousri Belgaroui,78,185.0,79,Orthodox,06/02/1992
Terrance McKinney,70,155.0,73,Switch,09/15/1994
Tofiq Musayev,69,155.0,69,Orthodox,12/15/1989
Lance Gibson Jr.,69,155.0,72,Switch,02/02/1995
Tyrell Fortune,72,259.0,75,Orthodox,07/04/1990
Casey O'Neill,66,125.0,69,Orthodox,10/07/1997
Ricky Simon,66,135.0,69,Orthodox,08/31/1992
Alexia Thainara,64,115.0,67,Orthodox,11/20/1995
Movsar Evloev,67,145.0,72,Orthodox,02/11/1994
Luke Riley,69,145.0,69,Orthodox,06/30/1999
Michael Page,75,170.0,79,Switch,04/07/1987
Christian Leroy Duncan,74,185.0,79,Switch,07/24/1995
Danny Silva,67,145.0,69,Switch,01/30/1997
Mason Jones,70,155.0,74,Orthodox,04/26/1995
Nathaniel Wood,66,145.0,69,Orthodox,05/08/1993
Mario Pinto,77,265.0,79,Orthodox,03/14/1998
Mantas Kondratavicius,74,185.0,75,Orthodox,07/17/1999
Abdul-Kareem Al-Selwady,68,155.0,69,Orthodox,04/10/1995
Shanelle Dyer,66,115.0,65,Orthodox,04/23/2001
Kevin Vallejos,67,145.0,68,Switch,12/08/2001
Gillian Robertson,65,115.0,63,Orthodox,05/17/1995
Jose Delgado,71,145.0,74,Switch,04/21/1998
Ion Cutelaba,73,205.0,75,Southpaw,12/14/1993
Charles Johnson,69,125.0,70,Switch,01/10/1991
Myktybek Orolbai,70,170.0,74,Orthodox,02/10/1998
Vitor Petrino,74,225.0,77,Orthodox,08/28/1997
Elijah Smith,69,135.0,71,Orthodox,09/05/2002
Manoel Sousa,69,155.0,70,Orthodox,06/04/1997
Eryk Anders,73,185.0,75,Southpaw,04/21/1987
Hecher Sosa,69,135.0,70,Orthodox,08/25/1995
Piera Rodriguez,63,115.0,63,Orthodox,11/11/1992
Charles Oliveira,70,155.0,74,Orthodox,10/17/1989
Caio Borralho,73,185.0,75,Southpaw,01/16/1993
Raul Rosas Jr.,69,135.0,67,Switch,10/08/2004
Drew Dober,68,155.0,70,Southpaw,10/19/1988
Gregory Rodrigues,75,185.0,75,Orthodox,02/17/1992
Cody Garbrandt,68,135.0,65,Orthodox,07/07/1991
Donte Johnson,68,185.0,74,Southpaw,01/25/1999
Alberto Montes,67,145.0,69,Orthodox,05/31/1994
Nyamjargal Tumendemberel,67,125.0,71,Orthodox,03/22/1998
Sumudaerji,68,125.0,72,Southpaw,01/20/1996
Diyar Nurgozhay,74,205.0,74,Southpaw,04/22/1997
Rodolfo Bellato,75,205.0,75,Orthodox,02/05/1996
Lone'er Kavanagh,66,125.0,67,Orthodox,06/09/1999
David Martinez,65,135.0,67,Orthodox,08/03/1998
Imanol Rodriguez,64,125.0,64,Orthodox,11/15/1999
Santiago Luna,69,135.0,74,Orthodox,08/06/2004
Ryan Gandra,73,185.0,74,Orthodox,05/08/1995
Ailin Perez,65,135.0,66,Switch,10/05/1994
Cristian Quinonez,68,135.0,70,Orthodox,04/26/1996
Javier Reyes,67,145.0,73,Orthodox,10/13/1993
Regina Tarin,67,135.0,66,Southpaw,10/19/2004
Damian Pinas,73,185.0,79,Orthodox,03/12/2002
Uros Medic,73,170.0,71,Southpaw,04/25/1993
Melquizael Costa,70,145.0,71,Southpaw,09/14/1996
Serghei Spivac,75,260.0,78,Orthodox,01/24/1995
Jacobe Smith,70,170.0,72,Southpaw,01/17/1996
Michel Pereira,73,185.0,73,Orthodox,10/06/1993
Carlos Leal,71,170.0,74,Orthodox,05/04/1994
Ode Osbourne,67,125.0,73,Southpaw,01/09/1992
Alden Coria,68,125.0,67,Orthodox,04/24/1998
Punahele Soriano,71,170.0,72,Southpaw,11/22/1992
Jean-Paul Lebosnoyani,71,170.0,72,Switch,01/27/1999
Jordan Leavitt,69,145.0,71,Southpaw,06/02/1995
Carli Judice,67,125.0,68,Southpaw,03/02/1999
Mario Bautista,69,135.0,69,Switch,07/01/1993
Kyoji Horiguchi,64,125.0,63,Orthodox,10/12/1990
Rizvan Kuniev,76,240.0,76,Orthodox,03/10/1992
Michal Oleksiejczuk,72,185.0,74,Southpaw,02/22/1995
Farid Basharat,68,135.0,71,Orthodox,08/02/1997
Dustin Jacoby,75,205.0,76,Orthodox,04/04/1988
Nikolay Veretennikov,73,170.0,74,Orthodox,12/22/1989
Javid Basharat,69,135.0,69,Orthodox,09/07/1995
Wang Cong,66,125.0,66,Southpaw,05/15/1992
Jakub Wiklacz,70,135.0,72,Orthodox,09/10/1996
Klaudia Sygula,68,135.0,69,Orthodox,12/30/1998
Alexander Volkanovski,66,145.0,71,Orthodox,09/29/1988
Benoit Saint Denis,71,155.0,73,Southpaw,12/18/1995
Tallison Teixeira,79,258.0,83,Orthodox,12/07/1999
Billy Elekana,75,205.0,77,Southpaw,05/28/1995
Dom Mar Fan,71,155.0,75,Orthodox,03/19/2000
Keiichiro Nakamura,70,145.0,70,Southpaw,12/02/1998
Lawrence Lui,67,135.0,72,Orthodox,08/04/1996
Waldo Cortes Acosta,76,260.0,78,Orthodox,10/03/1991
Natalia Silva,64,125.0,65,Southpaw,02/03/1997
Jean Silva,67,145.0,69,Orthodox,12/27/1996
Umar Nurmagomedov,68,135.0,69,Orthodox,01/03/1996
Nikita Krylov,75,205.0,77,Orthodox,03/07/1992
Ty Miller,74,170.0,77,Orthodox,06/04/2000
Cezary Oleksiejczuk,75,185.0,75,Southpaw,01/06/2000
Kennedy Nzechukwu,77,236.0,83,Southpaw,06/13/1992
Steven Asplund,77,260.0,78,Orthodox,07/16/1998
Guilherme Pat,78,265.0,81,Orthodox,04/20/1994
Jamey-Lyn Horth,67,125.0,66,Orthodox,03/30/1990
Petr Yan,67,135.0,67,Switch,02/11/1993
Tatsuro Taira,67,125.0,70,Orthodox,01/27/2000
Payton Talbott,70,135.0,70,Switch,09/09/1998
Jan Blachowicz,74,205.0,78,Orthodox,02/24/1983
Manuel Torres,70,155.0,73,Switch,03/25/1995
Chris Duncan,70,155.0,71,Orthodox,05/10/1993
Maycee Barber,65,125.0,65,Switch,05/18/1998
Fares Ziam,73,155.0,75,Orthodox,03/21/1997
Brunno Ferreira,70,185.0,72,Orthodox,11/04/1992
Jalin Turner,75,155.0,77,Southpaw,05/18/1995
Mansur Abdul-Malik,74,185.0,80,Orthodox,10/07/1997
Mairon Santos,67,145.0,72,Orthodox,06/10/2000
Arman Tsarukyan,67,155.0,72,Orthodox,10/11/1996
Ian Machado Garry,75,170.0,74,Orthodox,11/17/1997
Volkan Oezdemir,74,205.0,75,Orthodox,09/19/1989
Nicolas Dalby,71,170.0,74,Orthodox,11/16/1984
Aleksandre Topuria,67,135.0,68,Orthodox,01/28/1996
Ismail Naurdiev,70,185.0,74,Orthodox,08/18/1996
Nurullo Aliev,70,155.0,72,Orthodox,12/08/2000
Denzel Freeman,73,265.0,77,Southpaw,11/10/1991
Islam Makhachev,70,170.0,70,Southpaw,10/27/1991
Valentina Shevchenko,65,125.0,66,Southpaw,03/07/1988
Michael Morales,72,170.0,79,Orthodox,06/24/1999
Erin Blanchfield,64,125.0,66,Orthodox,05/04/1999
Kyle Daukaus,74,185.0,76,Southpaw,02/27/1993
Fatima Kline,66,115.0,67,Orthodox,07/12/2000
Joseph Morales,66,125.0,69,Switch,08/22/1994
Jamall Emmers,70,145.0,74,Orthodox,07/24/1989
Jacqueline Cavalcanti,68,135.0,70,Orthodox,08/29/1997
Denise Gomes,62,115.0,63,Orthodox,12/30/1999
Daniel Marcos,67,135.0,69,Orthodox,03/07/1993
Zach Reese,76,185.0,77,Switch,03/24/1994
Steve Garcia,72,145.0,75,Southpaw,05/22/1992
Jeremiah Wells,69,170.0,74,Switch,10/30/1986
Yadier del Valle,69,145.0,69,Southpaw,07/29/1996
Allan Nascimento,68,125.0,69,Orthodox,09/11/1991
Timmy Cuamba,69,135.0,71,Orthodox,02/08/1999
Norma Dumont,67,135.0,67,Orthodox,10/01/1990
Seokhyeon Ko,70,170.0,71,Southpaw,09/24/1993
Tom Aspinall,77,255.0,78,Orthodox,04/11/1993
Mackenzie Dern,64,115.0,63,Orthodox,03/24/1993
Azamat Murzakanov,70,205.0,71,Southpaw,04/12/1989
Ludovit Klein,67,155.0,72,Southpaw,02/22/1995
Valter Walker,78,244.0,78,Orthodox,12/14/1997
Hamdy Abdelwahab,74,265.0,72,Southpaw,01/22/1993
Mizuki,63,115.0,65,Orthodox,08/19/1994
Aiemann Zahabi,68,135.0,68,Orthodox,11/19/1987
Manon Fiorot,67,125.0,65,Orthodox,02/17/1990
Kyle Nelson,71,155.0,71,Switch,04/20/1991
Aoriqileng,67,135.0,69,Orthodox,06/25/1993
Bruno Silva,64,125.0,65,Orthodox,03/16/1990
Djorden Santos,72,185.0,75,Orthodox,08/01/1997
Stephanie Luciano,66,115.0,65,Orthodox,12/16/1999
Deiveson Figueiredo,65,135.0,68,Orthodox,12/18/1987
Joel Alvarez,75,170.0,77,Orthodox,03/02/1993
Michael Aswell Jr.,68,145.0,69,Orthodox,09/27/2000
Jafel Filho,67,125.0,68,Orthodox,05/05/1993
Lucas Rocha,63,125.0,64,Orthodox,08/12/2000
Julia Polastri,62,115.0,63,Orthodox,03/05/1998
Luan Lacerda,67,135.0,71,Orthodox,01/07/1993
Alex Pereira,76,205.0,79,Orthodox,07/07/1987
Merab Dvalishvili,66,135.0,68,Orthodox,01/10/1991
Jiri Prochazka,75,205.0,80,Orthodox,10/14/1992
Youssef Zalal,70,145.0,72,Switch,09/04/1996
Daniel Santos,67,145.0,67,Orthodox,03/12/1995
Edmen Shahbazyan,74,185.0,74,Orthodox,11/20/1997
Yana Santos,66,135.0,68,Orthodox,11/11/1989
Ramiz Brahimaj,70,170.0,72,Orthodox,11/17/1992
Veronica Hardy,64,125.0,64,Southpaw,10/30/1995
Jimmy Crute,74,205.0,74,Orthodox,03/04/1996
Jack Jenkins,67,145.0,68,Switch,11/03/1993
Neil Magny,75,170.0,80,Orthodox,08/03/1987
