fighter,Height,Weight,Reach,STANCE,DOB
Tanner Boser,74,205.0,75,Orthodox,08/02/1991
Carlston Harris,72,170.0,76,Orthodox,07/09/1987
Billy Quarantillo,70,145.0,70,Orthodox,12/08/1988
CJ Vergara,66,125.0,68,Orthodox,06/18/1991
Julija Stoliarenko,67,125.0,66,Orthodox,04/08/1993
Jonny Parsons,69,170.0,69,Orthodox,09/06/1991
Makhmud Muradov,74,185.0,75,Orthodox,02/08/1990
Holly Holm,68,135.0,69,Southpaw,10/17/1981
Francisco Prado,70,170.0,69,Orthodox,06/16/2002
Melsik Baghdasaryan,69,145.0,70,Southpaw,01/28/1992
Azat Maksum,67,125.0,70,Southpaw,02/02/1995
Alexander Munoz,69,155.0,72,Switch,02/27/1990
Robbie Lawler,71,170.0,74,Southpaw,03/20/1982
Cameron Saaiman,68,135.0,67,Southpaw,12/20/2000
Armen Petrosyan,75,185.0,71,Orthodox,11/03/1990
Kyung Ho Kang,69,135.0,73,Orthodox,09/09/1987
Tereza Bleda,69,125.0,71,Orthodox,11/30/2001
Amanda Nunes,68,135.0,69,Orthodox,05/30/1988
Diana Belbita,67,125.0,68,Orthodox,06/26/1996
Amir Albazi,65,125.0,68,Orthodox,10/27/1993
Alex Caceres,70,145.0,73,Southpaw,06/20/1988
Gilbert Urbina,75,185.0,75,Orthodox,04/05/1996
Matt Brown,72,170.0,75,Orthodox,01/10/1981
Douglas Silva de Andrade,67,145.0,68,Orthodox,06/22/1985
Mandy Bohm,67,125.0,71,Orthodox,07/30/1989
Matt Frevola,69,155.0,71,Orthodox,06/11/1990
Parker Porter,72,265.0,75,Orthodox,04/22/1985
Claudio Ribeiro,73,185.0,77,Orthodox,07/17/1992
Irina Alekseeva,68,135.0,67,Orthodox,06/27/1990
Bruno Silva,72,185.0,74,Orthodox,07/13/1989
Christos Giagos,70,155.0,71,Orthodox,01/23/1990
Pedro Munhoz,66,135.0,65,Orthodox,09/07/1986
Zak Cummings,72,205.0,75,Southpaw,08/02/1984
Israel Adesanya,76,185.0,80,Switch,07/22/1989
Gilbert Burns,70,170.0,71,Orthodox,07/20/1986
Luana Pinheiro,62,115.0,62,Orthodox,11/18/1992
Albert Duraev,71,185.0,75,Orthodox,01/05/1989
Daniel Pineda,67,145.0,69,Orthodox,08/06/1985
Lucas Alexander,71,145.0,73,Orthodox,07/28/1995
Trevin Giles,72,170.0,74,Orthodox,08/06/1992
Victor Altamirano,68,125.0,70,Switch,01/23/1991
Gunnar Nelson,71,170.0,72,Switch,07/28/1988
Jennifer Maia,64,125.0,64,Orthodox,10/06/1988
Marvin Vettori,72,185.0,74,Southpaw,09/20/1993
Jack Shore,68,145.0,71,Orthodox,02/06/1995
Augusto Sakai,75,265.0,77,Orthodox,05/09/1991
Joe Solecki,69,155.0,70,Orthodox,08/27/1993
Zac Pauga,74,205.0,76,Orthodox,02/25/1988
Mayra Bueno Silva,66,135.0,66,Orthodox,08/22/1991
AJ Fletcher,70,170.0,67,Switch,02/18/1997
Josh Culibao,70,145.0,73,Orthodox,05/24/1994
Kleydson Rodrigues,65,135.0,67,Orthodox,10/22/1995
Blake Bilder,68,145.0,68,Switch,07/12/1990
Devin Clark,72,205.0,75,Orthodox,04/12/1990
Anshul Jubli,72,155.0,69,Switch,01/13/1995
Jamahal Hill,76,205.0,79,Southpaw,05/19/1991
Cody Stamann,66,135.0,64,Orthodox,11/09/1989
Josiane Nunes,62,135.0,67,Southpaw,12/23/1993
Cory McKenna,63,115.0,58,Orthodox,07/11/1999
Matthew Semelsberger,73,170.0,75,Switch,11/23/1992
Sergey Morozov,66,135.0,67,Orthodox,06/14/1989
Eric Nolan,74,170.0,74,Orthodox,09/13/1997
Theodor Berggren,71,170.0,75,Switch,04/09/2000
Jefferson Nascimento,68,170.0,70,Orthodox,11/19/1998
Leon Shahbazyan,76,170.0,74,Orthodox,11/18/1995
Otari Tanzilovi,69,145.0,70,Orthodox,04/09/1998
Michael Chandler,68,155.0,71,Orthodox,04/24/1986
Yuneisy Duben,64,125.0,65,Orthodox,07/08/1996
YiSak Lee,72,185.0,72,Orthodox,01/01/2000
Ding Meng,74,170.0,73,Orthodox,09/27/1994
Xiong Jingnan,64,115.0,63,Switch,01/12/1988
Zhu Kangjie,66,145.0,70,Orthodox,01/16/1996
Christian Edwards,77,205.0,78,Southpaw,11/05/1998
Artur Minev,69,155.0,69,Orthodox,09/27/2003
Polyana Viana,65,115.0,67,Orthodox,06/14/1992
Jeremy Stephens,69,155.0,71,Orthodox,05/25/1986
Ollie Schmid,72,145.0,71,Orthodox,12/28/2000
Tai Tuivasa,74,264.0,75,Southpaw,03/16/1993
Kevin Christian,79,205.0,80,Orthodox,01/21/1995
Vince Morales,67,135.0,70,Orthodox,11/12/1990
Ben Johnston,76,185.0,76,Orthodox,10/11/1990
Adrian Luna Martinetti,68,135.0,71,Orthodox,08/20/1995
Marcus Buchecha,74,255.0,77,Orthodox,01/08/1990
Lucas Brennan,70,155.0,72,Southpaw,06/03/2000
Mandel Nallo,72,155.0,75,Orthodox,07/26/1989
Julien Leblanc,74,185.0,74,Southpaw,01/21/1992
Mark Vologdin,63,135.0,65,Orthodox,04/18/2000
Jamie Siraj,67,135.0,66,Orthodox,06/28/1994
Manolo Zecchini,68,145.0,68,Orthodox,10/22/1996
Robert Ruchala,68,145.0,72,Switch,05/15/1998
Stewart Nicoll,65,125.0,65,Orthodox,04/11/1996
Lando Vannata,69,155.0,71,Orthodox,03/14/1992
Hailey Cowan,68,135.0,67,Southpaw,02/12/1992
Dakota Hope,66,155.0,68,,01/29/1997
Kurtis Campbell,69,145.0,72,Switch,07/29/2002
Losene Keita,67,145.0,72,Orthodox,12/30/1997
Felipe Franco,73,205.0,76,Orthodox,01/22/2001
Antonio Trocoli,77,185.0,80,Orthodox,12/06/1990
Shem Rock,71,155.0,73,Southpaw,11/05/1993
Ravena Oliveira,65,115.0,65,Orthodox,02/20/1997
Harry Hardwick,68,145.0,71,Switch,09/29/1994
Ricky Turcios,69,145.0,71,Orthodox,06/05/1993
Rafael Tobias,74,205.0,74,Orthodox,03/20/2003
Luke Fernandez,73,205.0,76,Orthodox,06/29/1995
Angel Pacheco,68,135.0,70,Orthodox,01/13/1992
Jose Daniel Medina,72,185.0,74,Orthodox,05/17/1991
Kris Moutinho,67,135.0,68,Southpaw,08/09/1992
Erik Silva,69,145.0,71,Orthodox,03/16/1987
Josiah Harrell,67,170.0,68,Southpaw,11/13/1998
Alibi Idiris,66,125.0,68,Orthodox,10/22/1994
Gianni Vazquez,67,135.0,71,Orthodox,07/17/1994
Sangwook Kim,72,155.0,71,Orthodox,10/17/1993
Sebastian Szalay,66,145.0,66,Orthodox,02/03/1994
Sulangrangbo,69,135.0,66,Southpaw,07/17/2005
Isaac Thomson,70,145.0,69,,05/03/2002
Sean Sharaf,75,252.0,77,Orthodox,07/11/1993
Allen Frye Jr.,77,265.0,80,Orthodox,04/15/1998
Henry Cejudo,64,135.0,64,Orthodox,02/09/1987
Saygid Izagakhmaev,72,170.0,74,,09/03/1994
Rafael Cerqueira,75,205.0,76,Southpaw,03/15/1990
Marek Bujlo,76,265.0,77,Orthodox,10/10/1992
Max Gimenis,74,256.0,75,Orthodox,04/14/1993
Daniel Frunza,73,170.0,73,Orthodox,04/13/1994
Montserrat Conejo Ruiz,60,115.0,61,Southpaw,02/03/1993
Aleksandar Rakic,76,205.0,78,Orthodox,02/06/1992
Chris Barnett,69,261.0,75,Orthodox,06/14/1986
Kyle Prepolec,70,155.0,70,Southpaw,08/30/1989
Saimon Oliveira,64,135.0,72,Orthodox,04/21/1991
Tre'ston Vines,73,185.0,79,Orthodox,06/18/1996
Patchy Mix,71,135.0,70,Southpaw,08/16/1993
Brogan Walker,64,125.0,67,Switch,08/02/1988
Rolando Bedoya,71,155.0,74,Orthodox,01/13/1997
Josias Musasa,68,135.0,74,Southpaw,10/10/1998
Elisha Ellison,72,238.0,78,Orthodox,03/05/1997
Claudio Puelles,70,155.0,72,Southpaw,04/21/1996
Rodrigo Sezinando,69,170.0,71,Orthodox,12/11/1997
Kiefer Crosbie,71,170.0,70,Switch,04/05/1990
Terrance Saeteurn,66,125.0,67,Orthodox,05/30/1995
Nick Klein,73,185.0,77,Orthodox,09/08/1995
Mohammad Yahya,69,145.0,73,Switch,05/23/1994
Stephen Thompson,72,170.0,75,Orthodox,02/11/1983
Calvin Kattar,71,145.0,72,Orthodox,03/26/1988
Lauren Murphy,65,125.0,67,Orthodox,07/27/1983
Mitch Ramirez,71,155.0,71,Orthodox,11/03/1992
Alvin Hines,74,265.0,74,Orthodox,10/20/1991
Mark Choinski,68,155.0,69,Orthodox,10/22/1995
Rayanne dos Santos,62,115.0,62,Orthodox,06/08/1995
Sodiq Yusuff,69,155.0,71,Orthodox,05/19/1993
Connor Matthews,68,145.0,71,Switch,05/31/1992
Roberto Romero,68,145.0,70,Orthodox,01/30/2000
Cortavious Romious,64,135.0,68,Southpaw,01/06/1994
Istela Nunes,64,115.0,66,Orthodox,07/23/1992
Pedro Falcao,66,135.0,66,Orthodox,07/30/1992
Vinc Pichel,70,155.0,72,Orthodox,11/23/1982
Jordan Vucenic,70,155.0,73,Orthodox,03/02/1996
AJ Cunningham,70,135.0,71,Orthodox,09/07/1994
Julian Marquez,74,185.0,72,Orthodox,05/08/1990
Andrea Lee,66,125.0,69,Orthodox,02/11/1989
Dylan Budka,72,185.0,75,Switch,01/14/2000
Julia Avila,67,135.0,68,Orthodox,05/11/1988
Damir Hadzovic,69,155.0,70,Orthodox,08/08/1986
Colby Covington,71,170.0,72,Orthodox,02/22/1988
Ottman Azaitar,68,155.0,71,Switch,02/20/1990
Kron Gracie,69,145.0,70,Southpaw,07/11/1988
Clay Guida,67,155.0,70,Orthodox,12/08/1981
Baergeng Jieleyisi,69,145.0,71,Orthodox,11/24/1995
Kiru Sahota,70,125.0,73,Orthodox,05/28/1995
Feng Xiaocan,66,115.0,67,Southpaw,10/27/2001
Stipe Miocic,76,240.0,80,Orthodox,08/19/1982
James Llontop,72,155.0,73,Orthodox,08/02/1999
Mickey Gall,74,170.0,74,Switch,01/22/1992
Zachary Scroggin,75,170.0,74,Orthodox,03/09/1996
Caio Machado,76,250.0,78,Southpaw,07/20/1994
Rafael Dos Anjos,68,170.0,70,Southpaw,10/26/1984
Matheus Nicolau,66,125.0,66,Orthodox,01/06/1993
Tamires Vidal,66,135.0,68,Orthodox,07/27/1998
Jessica Penne,65,115.0,67,Orthodox,01/30/1983
Jonathan Pearce,72,145.0,71,Switch,05/01/1992
Carla Esparza,61,115.0,63,Orthodox,10/10/1987
Da Woon Jung,76,205.0,78,Orthodox,12/07/1993
Roosevelt Roberts,74,155.0,73,Orthodox,02/11/1994
Brendon Marotte,69,145.0,70,Orthodox,01/12/1996
Zygimantas Ramaska,71,145.0,71,Orthodox,12/27/1996
Victoria Leonardo,65,125.0,64,Orthodox,02/16/1990
Li Jingliang,72,170.0,71,Orthodox,03/20/1988
Herbert Burns,69,145.0,73,Orthodox,02/02/1988
Alex Reyes,71,155.0,73,Orthodox,10/02/1986
Ricky Glenn,72,170.0,70,Southpaw,04/12/1989
Charalampos Grigoriou,67,135.0,67,Orthodox,03/31/1992
Pannie Kianzad,67,135.0,66,Orthodox,12/08/1991
Tony Ferguson,71,170.0,76,Orthodox,02/12/1984
Denis Tiuliulin,73,185.0,77,Orthodox,05/17/1988
Kaynan Kruschewsky,72,155.0,73,Orthodox,04/04/1991
Brian Kelleher,66,135.0,66,Switch,08/19/1986
Lucie Pudilova,68,125.0,67,Orthodox,06/13/1994
Mariya Agapova,66,125.0,68,Southpaw,04/07/1997
Yanis Ghemmouri,69,135.0,69,Orthodox,01/24/1995
Michelle Waterson-Gomez,63,115.0,62,Orthodox,01/06/1986
Andrei Arlovski,75,240.0,77,Orthodox,02/04/1979
Josh Quinlan,72,170.0,72,Orthodox,02/06/1993
Shayilan Nuerdanbieke,68,145.0,69,Orthodox,05/04/1994
Miguel Baeza,74,170.0,74,Orthodox,08/23/1992
Jesse Butler,70,135.0,73,Orthodox,05/24/1992
Vinicius Salvador,67,135.0,70,Southpaw,07/24/1996
Victor Martinez,67,155.0,70,Orthodox,07/17/1991
Warlley Alves,71,185.0,72,Orthodox,01/04/1991
Rani Yahya,66,135.0,67,Orthodox,09/12/1984
Michal Figlak,70,155.0,70,Orthodox,08/15/1996
Marnic Mann,60,115.0,64,Southpaw,03/05/1993
Liang Na,65,125.0,67,Orthodox,07/27/1996
Gabriel Benitez,68,155.0,71,Southpaw,06/15/1988
Germaine de Randamie,69,135.0,71,Orthodox,04/24/1984
Anton Turkalj,76,205.0,78,Orthodox,06/10/1996
Luis Pajuelo,70,145.0,69,Orthodox,12/18/1994
Igor Severino,67,125.0,69,Orthodox,04/21/2003
Bryan Barberena,72,185.0,72,Southpaw,05/03/1989
Natan Levy,69,155.0,71,Southpaw,09/30/1991
Katlyn Cerminara,69,125.0,68,Orthodox,12/28/1988
Josh Parisian,76,265.0,79,Orthodox,06/28/1989
Maryna Moroz,67,125.0,67,Orthodox,09/08/1991
Jamie Pickett,74,185.0,80,Orthodox,08/29/1988
Mateus Mendonca,66,125.0,71,Orthodox,01/17/1999
Daniel Lacerda,66,125.0,70,Switch,06/05/1996
Denys Bondar,66,125.0,69,Orthodox,06/27/1992
Val Woodburn,68,170.0,74,Orthodox,08/10/1993
Fernie Garcia,67,135.0,67,Orthodox,04/12/1992
Pete Rodriguez,69,170.0,71,Switch,11/13/1996
Landon Quinones,69,155.0,70,Southpaw,11/21/1995
Yohan Lainesse,73,170.0,76,Orthodox,08/14/1992
Malcolm Gordon,67,125.0,71,Switch,05/19/1990
Phil Hawes,72,185.0,77,Orthodox,01/08/1989
Shannon Ross,66,125.0,66,Switch,05/12/1989
Stephanie Egger,66,135.0,68,Orthodox,08/12/1988
Wellington Turman,72,170.0,72,Orthodox,07/22/1996
Nick Aguirre,69,135.0,74,Southpaw,01/15/1996
Mark Madsen,68,155.0,72,Orthodox,09/23/1984
Abu Azaitar,69,185.0,76,Orthodox,03/10/1986
Jinh Yu Frey,63,115.0,65,Southpaw,05/20/1985
TJ Brown,69,145.0,72,Switch,05/22/1990
Ashley Yoder,67,115.0,69,Southpaw,10/20/1987
Kanako Murata,61,115.0,62,Orthodox,08/10/1993
Johnny Munoz,69,135.0,71,Orthodox,02/16/1993
Andre Fialho,72,170.0,74,Orthodox,04/07/1994
Jake Collier,75,230.0,78,Orthodox,10/25/1988
Hannah Goldy,64,115.0,61,Orthodox,05/18/1992
Terrence Mitchell,70,135.0,74,Orthodox,12/30/1989
John Makdessi,68,155.0,68,Orthodox,05/03/1985
Blood Diamond,71,170.0,76,Switch,07/10/1988
Shane Young,68,145.0,72,Orthodox,07/31/1993
Zarah Fairn,68,135.0,72,Orthodox,12/10/1983
Chan Sung Jung,67,145.0,72,Orthodox,03/17/1987
Taila Santos,66,125.0,68,Orthodox,06/22/1993
Yusaku Kinoshita,72,170.0,71,Southpaw,08/21/2000
Hakeem Dawodu,68,145.0,73,Orthodox,07/02/1991
Chris Daukaus,75,205.0,76,Orthodox,09/25/1989
Tafon Nchukwi,72,185.0,77,Orthodox,10/14/1994
JP Buys,65,135.0,67,Orthodox,04/30/1996
Gavin Tucker,66,145.0,66,Southpaw,06/17/1986
Aleksa Camur,73,205.0,74,Orthodox,09/25/1995
Danny Roberts,73,170.0,74,Southpaw,07/14/1987
Tucker Lutz,68,145.0,72,Orthodox,07/12/1994
Austin Lingo,70,145.0,70,Orthodox,07/10/1994
Genaro Valdez,69,155.0,72,Orthodox,01/16/1992
Tyson Nam,67,125.0,68,Orthodox,10/06/1983
Carl Deaton,67,155.0,69,Orthodox,11/24/1989
Ashlee Evans-Smith,68,135.0,67,Orthodox,07/09/1987
Kamuela Kirk,70,155.0,75,Switch,04/13/1994
Damir Ismagulov,70,155.0,74,Orthodox,02/03/1991
Kevin Lee,69,170.0,77,Orthodox,09/04/1992
Blagoy Ivanov,71,250.0,73,Southpaw,10/09/1986
Zhalgas Zhumagulov,64,125.0,66,Switch,08/29/1988
Ronnie Lawrence,68,135.0,68,Switch,06/13/1992
David Dvorak,65,125.0,68,Orthodox,06/05/1992
Maria Oliveira,66,115.0,69,Orthodox,12/12/1996
Abubakar Nurmagomedov,71,170.0,72,Orthodox,11/13/1989
Maxim Grishin,75,205.0,78,Orthodox,05/02/1984
Orion Cosce,71,170.0,71,Switch,07/15/1994
Ilir Latifi,70,230.0,73,Orthodox,07/28/1982
Nick Fiore,70,155.0,72,Orthodox,12/10/1997
Takashi Sato,70,170.0,73,Southpaw,06/09/1990
Chase Sherman,76,250.0,78,Orthodox,11/16/1989
Ji Yeon Kim,67,125.0,72,Orthodox,10/18/1989
Jessica-Rose Clark,65,135.0,64,Orthodox,11/28/1987
Braxton Smith,71,257.0,72,Orthodox,01/01/1990
Joseph Holmes,76,185.0,80,Orthodox,07/04/1995
Journey Newson,65,135.0,67,Orthodox,03/07/1989
Batgerel Danaa,67,135.0,70,Orthodox,07/04/1989
Ed Herman,73,205.0,77,Orthodox,10/02/1980
Aaron Phillips,69,135.0,71,Southpaw,08/05/1989
Jorge Masvidal,71,170.0,74,Orthodox,11/12/1984
Cynthia Calvillo,64,115.0,64,Orthodox,07/13/1987
Steven Peterson,70,145.0,70,Orthodox,05/29/1990
Makwan Amirkhani,70,145.0,72,Southpaw,11/08/1988
Omar Morales,71,155.0,73,Orthodox,10/17/1985
Guido Cannetti,66,135.0,68,Southpaw,12/19/1979
Raphael Assuncao,65,135.0,66,Orthodox,07/19/1982
Tony Gravely,65,135.0,69,Orthodox,09/28/1991
Trevin Jones,67,135.0,70,Southpaw,08/04/1990
Derek Brunson,73,185.0,77,Southpaw,01/04/1984
Mana Martinez,70,135.0,70,Orthodox,03/25/1996
Erick Gonzalez,71,155.0,75,Orthodox,01/20/1992
Rafael Alves,68,155.0,68,Orthodox,11/14/1990
Jordan Wright,74,205.0,77,Orthodox,10/07/1991
William Knight,70,205.0,73,Orthodox,04/03/1988
Lina Lansberg,67,135.0,65,Orthodox,03/13/1982
Khusein Askhabov,68,145.0,69,Orthodox,02/13/1995
Juancamilo Ronderos,63,125.0,64,Southpaw,02/17/1995
Don Shainis,66,145.0,67,Orthodox,09/16/1990
Zubaira Tukhugov,68,155.0,68,Orthodox,01/15/1991
SeungGuk Choi,66,125.0,64,Orthodox,12/26/1996
Glover Teixeira,74,205.0,76,Orthodox,10/28/1979
Mauricio Rua,73,205.0,76,Orthodox,11/25/1981
Mounir Lazzez,73,170.0,76,Orthodox,11/16/1987
Shamil Abdurakhimov,75,235.0,76,Orthodox,09/02/1981
Cheyanne Vlismas,63,115.0,63,Switch,06/25/1995
Saidyokub Kakhramonov,68,135.0,69,Orthodox,11/14/1995
